ID_Vendedor,Data,ID_Cliente,Cliente,Contrato,Vendedor,Gestão
65,2001-04-27,208,Lucas Teixeira,Plano de 5 anos,Ricardo,Marrone
66,2001-03-08,211,Adriana Farias,Plano Anual,Ricardo,Marrone
67,2001-05-17,218,Anderson Coelho,Plano de 10 anos,Ricardo,Marrone
68,2001-01-16,220,Diego Pinto,Plano de 5 anos,Ricardo,Marrone
69,2001-12-05,223,Lucas Teixeira,Plano Anual,Anchieta,Marrone
70,2001-06-17,227,Bruna Ribeiro,Plano Anual,Ricardo,Marrone
71,2001-11-24,230,Maria Santos,Plano Anual,Ricardo,Marrone
72,2001-11-21,234,Simone Fonseca,Plano de 5 anos,Ricardo,Marrone
73,2001-12-02,236,Mariana Duarte,Plano de 5 anos,Ricardo,Marrone
74,2001-09-18,239,Pedro Oliveira,Plano de 5 anos,Anchieta,Marrone
75,2001-11-11,240,Daniela Sousa,Plano de 5 anos,Anchieta,Marrone
76,2001-05-08,244,Renata Campos,Plano de 5 anos,Anchieta,Marrone
77,2001-03-18,248,Lucia Ferreira,Plano de 10 anos,Anchieta,Marrone
78,2001-03-21,254,Eduardo Moura,Plano Anual,Anchieta,Marrone
79,2001-12-05,255,Henrique Lopes,Plano de 5 anos,Ricardo,Marrone
80,2001-08-14,260,Diego Pinto,Plano de 10 anos,Ricardo,Marrone
81,2001-07-10,262,Patricia Rocha,Plano de 10 anos,Anchieta,Marrone
82,2001-03-16,267,Rodrigo Neves,Plano de 10 anos,Thiago,Marrone
83,2001-11-15,271,Mariana Duarte,Plano de 10 anos,Beatriz,Marrone
84,2001-10-20,273,Juliana Lima,Plano de 5 anos,Anchieta,Marrone
85,2001-10-07,278,Simone Fonseca,Plano Anual,Ricardo,Marrone
86,2001-05-31,280,Rafael Mendes,Plano de 5 anos,Ricardo,Marrone
87,2001-06-23,284,Carolina Freitas,Plano de 5 anos,Ricardo,Marrone
88,2001-06-30,288,Ana Costa,Plano Anual,Anchieta,Marrone
89,2001-07-18,295,Paulo Nascimento,Plano de 10 anos,Daniela,Marrone
90,2001-04-13,301,Carolina Freitas,Plano de 5 anos,Fernando,Marrone
91,2001-09-04,303,Carlos Souza,Plano Anual,Fernando,Marrone
92,2001-03-27,307,Thiago Monteiro,Plano Anual,Ricardo,Marrone
93,2001-05-09,308,Roberto Martins,Plano de 10 anos,Ricardo,Marrone
94,2001-11-06,310,Maria Santos,Plano Anual,Carlos,Marrone
95,2001-09-05,313,Leticia Cunha,Plano Anual,Juliana,Marrone
96,2001-05-08,317,Diego Pinto,Plano de 10 anos,Anchieta,Marrone
97,2001-09-13,319,Isabela Castro,Plano de 10 anos,Anchieta,Marrone
98,2001-07-26,323,Bruno Castro,Plano de 10 anos,Ricardo,Marrone
99,2001-04-12,327,Pedro Oliveira,Plano de 5 anos,Anchieta,Marrone
100,2001-09-08,331,Maria Santos,Plano Anual,Ricardo,Marrone
101,2001-05-05,336,Ricardo Barbosa,Plano Anual,Ricardo,Marrone
102,2001-02-01,338,Adriana Farias,Plano de 10 anos,Anchieta,Marrone
103,2001-11-09,341,Adriana Farias,Plano de 5 anos,Fernanda,Marrone
104,2001-10-06,344,Gabriel Ramos,Plano de 10 anos,Pedro,Marrone
105,2001-04-26,348,Lucas Teixeira,Plano de 10 anos,Juliana,Marrone
106,2001-09-01,350,Gabriel Ramos,Plano Anual,Anchieta,Marrone
107,2001-11-30,351,Marcelo Rezende,Plano de 10 anos,Ricardo,Marrone
108,2001-06-21,355,Renata Campos,Plano Anual,Fernanda,Marrone
109,2001-07-27,359,Vanessa Correia,Plano de 5 anos,Beatriz,Marrone
110,2001-05-15,362,Ana Costa,Plano de 10 anos,Anchieta,Marrone
111,2001-02-11,368,Carolina Freitas,Plano Anual,Amanda,Marrone
112,2001-06-07,373,João Silva,Plano de 5 anos,Pedro,Marrone
113,2001-11-25,376,Diego Pinto,Plano Anual,Cássia,Marrone
114,2001-12-16,377,Thiago Monteiro,Plano de 5 anos,Carlos,Marrone
115,2001-06-02,379,Felipe Barros,Plano de 5 anos,Ricardo,Marrone
116,2001-08-03,381,Amanda Dias,Plano de 5 anos,Ricardo,Marrone
117,2001-06-05,386,Lucas Teixeira,Plano de 5 anos,Patricia,Marrone
118,2001-11-27,388,Vinicius Torres,Plano de 5 anos,Ricardo,Marrone
119,2001-12-11,395,Beatriz Cardoso,Plano de 10 anos,Fernando,Marrone
120,2001-05-05,397,Amanda Dias,Plano de 5 anos,Anchieta,Marrone
121,2001-08-02,402,José Carvalho,Plano de 10 anos,Ricardo,Marrone
122,2001-11-20,408,Camila Rodrigues,Plano de 5 anos,Ricardo,Marrone
123,2001-04-03,412,Amanda Dias,Plano Anual,Cássia,Marrone
124,2001-02-11,415,Vanessa Correia,Plano de 5 anos,Carlos,Marrone
125,2001-12-26,416,Bruna Ribeiro,Plano de 10 anos,Anchieta,Marrone
126,2001-09-28,417,Vinicius Torres,Plano de 10 anos,Ricardo,Marrone
127,2001-12-18,418,Pedro Oliveira,Plano Anual,Gabriel,Marrone
128,2001-02-09,420,Bruno Castro,Plano de 10 anos,Camila,Marrone
129,2001-02-08,423,Vanessa Correia,Plano Anual,Anchieta,Marrone
130,2002-01-01,427,Carolina Freitas,Plano de 10 anos,Ricardo,Marrone
131,2001-10-11,430,Rafael Mendes,Plano Anual,Amanda,Marrone
132,2001-10-14,431,Monica Batista,Plano de 10 anos,Anchieta,Marrone
133,2001-01-04,435,Beatriz Cardoso,Plano de 10 anos,Anchieta,Marrone
134,2001-12-16,441,Silvia Cavalcanti,Plano Anual,Gabriel,Marrone
135,2001-07-29,442,Isabela Castro,Plano de 10 anos,Ricardo,Marrone
136,2001-09-19,449,Vinicius Torres,Plano Anual,Mario,Marrone
137,2001-03-27,456,Adriana Farias,Plano Anual,Cássia,Marrone
138,2001-07-22,458,Ricardo Barbosa,Plano Anual,Anchieta,Marrone
139,2001-02-22,460,Ricardo Barbosa,Plano de 5 anos,Anchieta,Marrone
140,2001-12-22,465,Henrique Lopes,Plano de 5 anos,Anchieta,Marrone
141,2001-08-19,467,Mariana Duarte,Plano de 10 anos,Ricardo,Marrone
142,2001-09-19,472,Simone Fonseca,Plano Anual,Rodrigo,Marrone
143,2001-08-14,473,Paula Melo,Plano Anual,Rodrigo,Marrone
144,2001-08-19,474,Gustavo Azevedo,Plano de 5 anos,Anchieta,Marrone
145,2001-11-20,476,Camila Rodrigues,Plano Anual,Ricardo,Marrone
146,2001-03-09,481,Anderson Coelho,Plano de 10 anos,Ricardo,Marrone
147,2001-07-08,484,João Silva,Plano de 5 anos,Ricardo,Marrone
148,2001-09-06,488,Fernando Alves,Plano de 10 anos,Rodrigo,Marrone
149,2001-03-09,490,Tatiana Moreira,Plano de 5 anos,Ricardo,Marrone
150,2001-07-17,496,Rafael Mendes,Plano de 5 anos,Mariana,Marrone
151,2001-11-09,498,Marcelo Rezende,Plano de 10 anos,Mariana,Marrone
152,2001-01-14,503,Henrique Lopes,Plano Anual,Pedro,Marrone
153,2001-05-03,504,Mariana Duarte,Plano de 5 anos,Anchieta,Marrone
154,2001-07-04,505,Bruno Castro,Plano Anual,Patricia,Marrone
155,2001-12-26,509,Felipe Barros,Plano de 5 anos,Anchieta,Marrone
156,2001-12-04,514,Silvia Cavalcanti,Plano de 5 anos,Anchieta,Marrone
157,2001-01-16,517,Carlos Souza,Plano de 5 anos,Patricia,Marrone
158,2001-01-07,521,Diego Pinto,Plano de 10 anos,Amanda,Marrone
159,2001-10-11,522,José Carvalho,Plano de 5 anos,Anchieta,Marrone
160,2001-07-25,525,Rafael Mendes,Plano Anual,Anchieta,Marrone
161,2001-10-07,528,Lucas Teixeira,Plano Anual,Beatriz,Marrone
162,2001-06-21,529,Paula Melo,Plano de 10 anos,Ricardo,Marrone
163,2001-04-29,531,Leticia Cunha,Plano de 10 anos,Anchieta,Marrone
164,2001-12-06,533,Rafael Mendes,Plano Anual,Anchieta,Marrone
165,2001-08-28,536,Thiago Monteiro,Plano Anual,Patricia,Marrone
166,2001-03-17,539,Thiago Monteiro,Plano Anual,Lucas,Marrone
167,2001-05-08,541,Roberto Martins,Plano de 10 anos,Anchieta,Marrone
168,2001-02-13,543,Carlos Souza,Plano de 5 anos,Camila,Marrone
169,2001-03-30,547,Tatiana Moreira,Plano de 10 anos,Ricardo,Marrone
170,2001-09-06,552,Diego Pinto,Plano Anual,Pedro,Marrone
171,2001-05-24,553,Simone Fonseca,Plano de 5 anos,Ricardo,Marrone
172,2001-01-30,555,Thiago Monteiro,Plano de 10 anos,Ricardo,Marrone
173,2001-12-27,557,Lucia Ferreira,Plano Anual,Thiago,Marrone
174,2001-06-15,561,Silvia Cavalcanti,Plano de 5 anos,Thiago,Marrone
175,2001-08-12,564,Fernanda Gomes,Plano de 10 anos,Gabriel,Marrone
176,2001-11-10,569,Mariana Duarte,Plano de 10 anos,Anchieta,Marrone
177,2001-02-04,572,João Silva,Plano de 10 anos,Ricardo,Marrone
178,2001-02-21,574,Anderson Coelho,Plano de 10 anos,Ricardo,Marrone
179,2001-05-31,575,Fernando Alves,Plano Anual,Juliana,Marrone
180,2001-10-09,576,Raquel Pires,Plano Anual,Ricardo,Marrone
181,2001-04-08,578,Marcelo Rezende,Plano de 5 anos,Ricardo,Marrone
182,2001-01-26,579,Mariana Duarte,Plano Anual,Ricardo,Marrone
183,2001-03-01,582,Mariana Duarte,Plano Anual,Mariana,Marrone
184,2001-10-05,586,Adriana Farias,Plano de 10 anos,Ricardo,Marrone
185,2001-08-05,591,Leonardo Vieira,Plano Anual,Mario,Marrone
186,2001-02-14,592,Rafael Mendes,Plano de 10 anos,Ricardo,Marrone
187,2001-12-25,593,Lucas Teixeira,Plano de 5 anos,Fernando,Marrone
188,2001-01-20,598,Ana Costa,Plano Anual,Fernando,Marrone
189,2001-06-22,599,Mariana Duarte,Plano Anual,Juliana,Marrone
190,2001-08-02,601,Gustavo Azevedo,Plano de 5 anos,Ricardo,Marrone
191,2001-11-01,608,Daniela Sousa,Plano Anual,Ricardo,Marrone
192,2001-11-28,611,Cristina Machado,Plano de 10 anos,Camila,Marrone
193,2001-08-31,612,João Silva,Plano de 10 anos,Ricardo,Marrone
194,2001-02-22,615,Adriana Farias,Plano de 10 anos,Pedro,Marrone
195,2001-09-04,616,Rafael Mendes,Plano de 5 anos,Amanda,Marrone
196,2001-01-14,619,Lucas Teixeira,Plano Anual,Ricardo,Marrone
197,2001-10-14,624,Juliana Lima,Plano de 10 anos,Ricardo,Marrone
198,2001-12-15,628,Ana Costa,Plano Anual,Thiago,Marrone
199,2001-11-20,631,João Silva,Plano de 10 anos,Ricardo,Marrone
200,2001-11-21,633,Rodrigo Neves,Plano Anual,Ricardo,Marrone
201,2001-06-26,636,Eduardo Moura,Plano Anual,Anchieta,Marrone
202,2001-07-03,639,Maria Santos,Plano de 10 anos,Ricardo,Marrone
203,2001-10-30,640,Silvia Cavalcanti,Plano Anual,Ricardo,Marrone
204,2001-07-14,643,Vinicius Torres,Plano Anual,Ricardo,Marrone
205,2001-11-13,646,Fernando Alves,Plano de 10 anos,Anchieta,Marrone
206,2001-04-17,648,João Silva,Plano de 5 anos,Anchieta,Marrone
207,2001-06-10,653,Anderson Coelho,Plano de 10 anos,Anchieta,Marrone
208,2001-02-23,659,Bruno Castro,Plano de 5 anos,Cássia,Marrone
209,2001-02-02,662,Silvia Cavalcanti,Plano de 10 anos,Anchieta,Marrone
210,2001-09-09,668,Tatiana Moreira,Plano de 10 anos,Mariana,Marrone
211,2001-10-09,672,Leonardo Vieira,Plano de 10 anos,Mario,Marrone
212,2001-04-24,676,Leonardo Vieira,Plano Anual,Ricardo,Marrone
213,2001-01-24,677,Silvia Cavalcanti,Plano de 5 anos,Anchieta,Marrone
214,2001-06-23,679,Leonardo Vieira,Plano de 5 anos,Ricardo,Marrone
215,2001-10-24,683,Diego Pinto,Plano de 10 anos,Fernando,Marrone
216,2001-12-26,687,Leonardo Vieira,Plano Anual,Beatriz,Marrone
217,2001-07-15,693,Ricardo Barbosa,Plano de 5 anos,Patricia,Marrone
218,2001-12-12,696,Cristina Machado,Plano de 5 anos,Juliana,Marrone
219,2001-02-08,703,Diego Pinto,Plano Anual,Anchieta,Marrone
220,2001-03-21,705,Ana Costa,Plano de 5 anos,Ricardo,Marrone
221,2001-03-23,708,Juliana Lima,Plano de 10 anos,Patricia,Marrone
222,2001-08-17,711,Raquel Pires,Plano de 10 anos,Lucas,Marrone
223,2001-06-14,715,Simone Fonseca,Plano de 10 anos,Fernando,Marrone
224,2001-07-28,721,Bruna Ribeiro,Plano Anual,Anchieta,Marrone
225,2001-11-25,722,Paula Melo,Plano de 10 anos,Gabriel,Marrone
226,2001-11-28,727,Adriana Farias,Plano de 5 anos,Beatriz,Marrone
227,2001-02-28,731,Anderson Coelho,Plano de 5 anos,Anchieta,Marrone
228,2001-05-29,732,Ricardo Barbosa,Plano Anual,Gabriel,Marrone
229,2001-04-10,734,Raquel Pires,Plano de 10 anos,Ricardo,Marrone
230,2001-11-27,739,Felipe Barros,Plano de 10 anos,Ricardo,Marrone
231,2001-07-24,745,Amanda Dias,Plano Anual,Ricardo,Marrone
232,2001-10-17,747,Thiago Monteiro,Plano Anual,Camila,Marrone
233,2001-11-29,750,Leonardo Vieira,Plano de 5 anos,Pedro,Marrone
234,2001-03-27,755,Tatiana Moreira,Plano de 5 anos,Anchieta,Marrone
235,2001-12-05,756,Patricia Rocha,Plano de 5 anos,Anchieta,Marrone
236,2001-10-31,758,Pedro Oliveira,Plano de 10 anos,Ricardo,Marrone
237,2001-12-05,760,Henrique Lopes,Plano de 5 anos,Camila,Marrone
238,2001-01-09,764,Monica Batista,Plano de 10 anos,Anchieta,Marrone
239,2001-08-09,768,Pedro Oliveira,Plano de 10 anos,Anchieta,Marrone
240,2001-10-06,772,Silvia Cavalcanti,Plano de 10 anos,Daniela,Marrone
241,2001-09-05,777,Rodrigo Neves,Plano Anual,Ricardo,Marrone
242,2001-03-24,781,Juliana Lima,Plano de 5 anos,Thiago,Marrone
243,2001-02-02,782,Henrique Lopes,Plano de 10 anos,Ricardo,Marrone
244,2001-07-04,787,Marcos Pereira,Plano de 10 anos,Ricardo,Marrone
245,2001-04-10,791,Paulo Nascimento,Plano de 10 anos,Cássia,Marrone
246,2001-03-01,796,José Carvalho,Plano de 5 anos,Pedro,Marrone
247,2001-04-03,799,Bruno Castro,Plano de 5 anos,Ricardo,Marrone
248,2001-04-17,801,Thiago Monteiro,Plano de 10 anos,Ricardo,Marrone
249,2001-09-19,805,Bruno Castro,Plano de 10 anos,Fernando,Marrone
250,2001-08-30,810,Mariana Duarte,Plano de 5 anos,Anchieta,Marrone
251,2001-05-01,813,Lucia Ferreira,Plano de 10 anos,Anchieta,Marrone
252,2001-04-01,814,Leonardo Vieira,Plano de 10 anos,Anchieta,Marrone
253,2001-06-21,817,Adriana Farias,Plano Anual,Ricardo,Marrone
254,2001-06-29,818,Bruno Castro,Plano Anual,Daniela,Marrone
255,2001-03-16,821,Lucas Teixeira,Plano de 10 anos,Ricardo,Marrone
256,2001-02-10,822,Rafael Mendes,Plano Anual,Ricardo,Marrone
257,2001-02-10,826,Fernando Alves,Plano de 5 anos,Ricardo,Marrone
258,2001-07-24,827,Paulo Nascimento,Plano Anual,Lucas,Marrone
259,2001-05-20,831,Vinicius Torres,Plano Anual,Amanda,Marrone
260,2001-06-03,837,Gabriel Ramos,Plano Anual,Juliana,Marrone
261,2001-11-27,839,Juliana Lima,Plano de 5 anos,Ricardo,Marrone
262,2001-10-02,844,Tatiana Moreira,Plano de 10 anos,Ricardo,Marrone
263,2001-03-20,845,Lucas Teixeira,Plano de 10 anos,Gabriel,Marrone
264,2001-05-08,849,Paula Melo,Plano de 5 anos,Anchieta,Marrone
265,2001-09-25,850,Monica Batista,Plano de 5 anos,Gabriel,Marrone
266,2001-03-21,856,Marcos Pereira,Plano de 5 anos,Amanda,Marrone
267,2001-09-08,862,Thiago Monteiro,Plano Anual,Ricardo,Marrone
268,2001-07-07,864,Diego Pinto,Plano de 10 anos,Carlos,Marrone
269,2001-10-10,867,Lucas Teixeira,Plano de 5 anos,Anchieta,Marrone
270,2001-01-23,868,Fernando Alves,Plano Anual,Patricia,Marrone
271,2001-11-24,872,Lucas Teixeira,Plano de 5 anos,Ricardo,Marrone
272,2001-07-17,875,Amanda Dias,Plano de 10 anos,Ricardo,Marrone
273,2001-11-04,879,Rafael Mendes,Plano de 5 anos,Ricardo,Marrone
274,2001-05-22,885,Bruno Castro,Plano de 5 anos,Amanda,Marrone
275,2001-02-17,887,Camila Rodrigues,Plano de 5 anos,Anchieta,Marrone
276,2001-11-01,889,Bruno Castro,Plano de 5 anos,Anchieta,Marrone
277,2001-11-21,892,Renata Campos,Plano Anual,Ricardo,Marrone
278,2001-09-14,897,Anderson Coelho,Plano de 5 anos,Pedro,Marrone
279,2001-11-16,903,José Carvalho,Plano de 5 anos,Anchieta,Marrone
280,2001-02-27,904,Raquel Pires,Plano de 10 anos,Ricardo,Marrone
281,2001-06-26,905,Rodrigo Neves,Plano Anual,Rodrigo,Marrone
282,2001-03-14,907,Diego Pinto,Plano de 10 anos,Ricardo,Marrone
283,2001-08-28,909,Alexandre Araújo,Plano Anual,Thiago,Marrone
284,2001-09-14,916,Diego Pinto,Plano de 10 anos,Ricardo,Marrone
285,2001-03-09,921,Felipe Barros,Plano de 10 anos,Beatriz,Marrone
286,2001-03-22,923,Marcelo Rezende,Plano de 5 anos,Gabriel,Marrone
287,2001-12-19,929,Henrique Lopes,Plano de 5 anos,Carlos,Marrone
288,2001-08-14,933,Leticia Cunha,Plano Anual,Ricardo,Marrone
289,2001-01-21,938,Leonardo Vieira,Plano de 10 anos,Fernando,Marrone
290,2001-11-27,941,Fernanda Gomes,Plano de 10 anos,Lucas,Marrone
291,2002-01-01,943,Rafael Mendes,Plano de 5 anos,Ricardo,Marrone
292,2001-02-16,944,Carolina Freitas,Plano de 5 anos,Pedro,Marrone
293,2001-10-17,946,Lucia Ferreira,Plano Anual,Amanda,Marrone
294,2001-08-23,949,João Silva,Plano de 10 anos,Anchieta,Marrone
295,2001-03-24,955,Vinicius Torres,Plano Anual,Ricardo,Marrone
296,2001-05-22,959,Camila Rodrigues,Plano de 5 anos,Gabriel,Marrone
297,2001-01-02,965,Patricia Rocha,Plano de 10 anos,Anchieta,Marrone
298,2001-12-18,969,Bruno Castro,Plano de 5 anos,Ricardo,Marrone
299,2001-10-02,972,Paula Melo,Plano de 10 anos,Ricardo,Marrone
300,2001-09-12,978,Isabela Castro,Plano de 10 anos,Anchieta,Marrone
301,2001-04-14,979,Rodrigo Neves,Plano de 5 anos,Amanda,Marrone
302,2001-06-09,983,Beatriz Cardoso,Plano Anual,Anchieta,Marrone
303,2001-12-11,986,Tatiana Moreira,Plano de 10 anos,Thiago,Marrone
304,2001-04-17,987,Tatiana Moreira,Plano de 10 anos,Beatriz,Marrone
305,2001-01-26,989,Monica Batista,Plano de 10 anos,Anchieta,Marrone
306,2001-08-28,993,Vinicius Torres,Plano de 10 anos,Ricardo,Marrone
307,2001-09-18,999,Rafael Mendes,Plano de 10 anos,Anchieta,Marrone
308,2001-05-01,1003,Paula Melo,Plano Anual,Ricardo,Marrone
309,2001-04-22,1007,João Silva,Plano Anual,Ricardo,Marrone
310,2001-08-11,1010,João Silva,Plano de 5 anos,Anchieta,Marrone
311,2001-03-10,1017,Lucia Ferreira,Plano Anual,Juliana,Marrone
312,2001-12-23,1019,Leticia Cunha,Plano Anual,Ricardo,Marrone
313,2001-10-23,1022,Rodrigo Neves,Plano Anual,Camila,Marrone
314,2001-09-20,1028,Thiago Monteiro,Plano de 5 anos,Ricardo,Marrone
315,2001-12-22,1029,Bruno Castro,Plano de 10 anos,Fernanda,Marrone
316,2001-12-04,1034,Vinicius Torres,Plano Anual,Ricardo,Marrone
317,2001-06-26,1035,Lucia Ferreira,Plano de 5 anos,Juliana,Marrone
318,2001-09-30,1039,Diego Pinto,Plano de 10 anos,Anchieta,Marrone
319,2001-05-29,1040,Renata Campos,Plano de 10 anos,Thiago,Marrone
320,2001-01-07,1046,Monica Batista,Plano de 10 anos,Ricardo,Marrone
321,2001-04-22,1048,Patricia Rocha,Plano de 10 anos,Ricardo,Marrone
322,2001-04-13,1055,Mariana Duarte,Plano de 10 anos,Ricardo,Marrone
323,2001-01-02,1060,Rodrigo Neves,Plano Anual,Ricardo,Marrone
324,2001-02-24,1067,Juliana Lima,Plano de 10 anos,Ricardo,Marrone
325,2001-04-10,1068,Mariana Duarte,Plano Anual,Carlos,Marrone
326,2001-03-18,1072,Carlos Souza,Plano de 10 anos,Anchieta,Marrone
327,2001-02-24,1076,Raquel Pires,Plano de 5 anos,Amanda,Marrone
328,2001-07-10,1080,Daniela Sousa,Plano de 10 anos,Carlos,Marrone
329,2001-11-09,1085,Silvia Cavalcanti,Plano Anual,Ricardo,Marrone
330,2001-06-21,1092,Fernando Alves,Plano de 5 anos,Rodrigo,Marrone
331,2001-08-23,1099,Tatiana Moreira,Plano Anual,Anchieta,Marrone
332,2001-05-24,1100,Lucas Teixeira,Plano de 5 anos,Ricardo,Marrone
333,2001-10-11,1102,Renata Campos,Plano Anual,Ricardo,Marrone
334,2001-01-21,1106,Bruna Ribeiro,Plano Anual,Ricardo,Marrone
335,2001-08-21,1107,Anderson Coelho,Plano Anual,Anchieta,Marrone
336,2001-12-09,1109,Paula Melo,Plano de 5 anos,Gabriel,Marrone
337,2001-08-26,1111,Leonardo Vieira,Plano de 10 anos,Beatriz,Marrone
338,2001-06-01,1112,Raquel Pires,Plano de 10 anos,Camila,Marrone
339,2001-11-14,1113,Monica Batista,Plano de 10 anos,Anchieta,Marrone
340,2001-10-25,1117,Rafael Mendes,Plano Anual,Ricardo,Marrone
341,2001-05-30,1120,Monica Batista,Plano de 5 anos,Anchieta,Marrone
342,2001-04-07,1121,Fernanda Gomes,Plano de 5 anos,Ricardo,Marrone
343,2001-03-09,1124,Paula Melo,Plano de 10 anos,Ricardo,Marrone
344,2001-12-02,1126,Daniela Sousa,Plano de 5 anos,Ricardo,Marrone
345,2001-03-24,1130,Fernanda Gomes,Plano Anual,Ricardo,Marrone
346,2001-08-14,1132,Adriana Farias,Plano Anual,Ricardo,Marrone
347,2001-01-13,1134,Rafael Mendes,Plano de 10 anos,Anchieta,Marrone
348,2001-07-25,1139,Juliana Lima,Plano de 5 anos,Ricardo,Marrone
349,2001-08-07,1144,Gabriel Ramos,Plano de 10 anos,Ricardo,Marrone
350,2001-06-21,1149,João Silva,Plano Anual,Mario,Marrone
