Data,ID_Cliente,Cliente,Almoco,Bebidas,Total_Gasto
2001-04-25,19504,Carlos Souza Barros,31.6,"Alcóolicas, Sucos",54.6
2001-12-11,13035,Daniela Sousa Campos,50.48,"Refrigerantes, Sucos, Alcóolicas",89.48
2001-08-02,8823,Simone Fonseca Castro,36.4,"Refrigerantes, Água, Sucos",92.4
2001-11-25,14017,Lucia Ferreira Pires,53.87,"Sucos, Alcóolicas",68.87
2001-01-11,10926,Cristina Machado Castro,43.25,"Alcóolicas, Refrigerantes, Sucos",96.25
2001-12-12,23694,Cristina Machado Nascimento,30.96,"Refrigerantes, Água",54.96
2001-02-14,19877,Gabriel Ramos Pinto,29.31,Refrigerantes,53.31
2001-12-20,4543,Eduardo Moura,33.39,"Alcóolicas, Sucos, Refrigerantes",64.39
2001-12-04,16483,Carolina Freitas,38.25,"Água, Refrigerantes",70.25
2001-12-18,14253,Henrique Lopes Machado,27.86,"Sucos, Refrigerantes, Alcóolicas",66.86
2001-01-16,2441,Thiago Monteiro Pires,25.59,Água,37.59
2001-02-15,25497,Simone Fonseca Campos,18.39,"Alcóolicas, Sucos",49.39
2001-09-04,25836,Rafael Mendes Araújo,35.96,"Refrigerantes, Água, Alcóolicas",62.96
2001-10-30,9884,Pedro Oliveira Rezende,33.04,"Alcóolicas, Água, Refrigerantes",70.04
2001-05-30,18829,Maria Santos Gomes,27.56,"Refrigerantes, Sucos",59.56
2001-11-13,16077,José Carvalho Dias,84.98,"Refrigerantes, Alcóolicas",106.98
2001-11-28,25454,Felipe Barros Ribeiro,33.24,Refrigerantes,49.24
2001-07-29,22816,Vanessa Correia Monteiro,34.99,Água,46.99
2001-12-14,3600,Carlos Souza Costa,55.83,"Alcóolicas, Água, Refrigerantes",90.83
2001-09-28,12846,Silvia Cavalcanti Castro,25.48,"Água, Sucos",37.48
2001-03-03,19128,Maria Santos Lopes,47.04,Água,55.04
2001-05-29,16611,Maria Santos Ribeiro,59.03,"Alcóolicas, Refrigerantes, Sucos",82.03
2001-10-02,20526,Vanessa Correia Silva,23.08,"Refrigerantes, Sucos",55.08
2001-11-30,17396,Ricardo Barbosa,48.47,Água,60.47
2001-09-22,3115,Marcelo Rezende Pereira,53.43,"Alcóolicas, Refrigerantes",82.43
2001-12-11,10813,Leonardo Vieira,21.89,"Sucos, Refrigerantes, Alcóolicas",60.89
2001-03-31,22850,Cristina Machado,45.67,"Sucos, Água",57.67
2001-05-18,6630,Rodrigo Neves,20.35,Refrigerantes,36.35
2001-05-15,11424,Leonardo Vieira,55.26,"Alcóolicas, Refrigerantes, Água",82.26
2001-01-30,20878,Simone Fonseca Farias,29.62,Alcóolicas,43.62
2001-05-31,11446,Marcos Pereira Torres,24.53,"Alcóolicas, Sucos, Refrigerantes",77.53
2001-10-07,6441,Eduardo Moura Teixeira,54.83,"Água, Alcóolicas, Sucos",111.83
2001-04-06,4060,Rodrigo Neves,23.9,Sucos,31.9
2001-10-24,719,Pedro Oliveira Fonseca,39.04,"Água, Refrigerantes, Sucos",87.04
2001-02-07,8025,Amanda Dias Batista,35.42,Água,39.42
2001-08-07,5033,José Carvalho Cunha,44.05,Água,56.05
2001-02-22,8145,Lucas Teixeira,39.45,"Água, Refrigerantes",59.45
2001-09-18,13985,Carlos Souza Martins,53.21,Alcóolicas,60.21
2001-12-04,19997,Raquel Pires,21.51,Sucos,29.51
2001-02-25,10462,Paula Melo Cavalcanti,31.85,"Alcóolicas, Refrigerantes, Sucos",78.85
2001-09-28,19236,Fernanda Gomes,24.24,"Água, Sucos",48.24
2001-12-13,1167,Carlos Souza Barros,36.66,"Sucos, Refrigerantes, Água",76.66
2001-09-04,2648,Vanessa Correia Cunha,38.64,"Sucos, Água",66.64
2001-01-09,6356,Tatiana Moreira Freitas,57.86,"Alcóolicas, Água, Sucos",110.86
2001-01-30,24319,Alexandre Araújo,50.75,"Alcóolicas, Refrigerantes",87.75
2001-02-08,14022,Gustavo Azevedo Teixeira,44.55,"Alcóolicas, Refrigerantes, Água",79.55
2001-09-02,8147,Ricardo Barbosa,19.52,"Sucos, Refrigerantes",51.52
2001-01-14,646,Fernando Alves,26.03,"Alcóolicas, Refrigerantes",64.03
2001-06-13,24493,Silvia Cavalcanti,29.45,Alcóolicas,36.45
2001-04-08,17015,Thiago Monteiro Farias,48.47,"Sucos, Alcóolicas, Água",98.47
2001-05-23,6095,Juliana Lima Coelho,30.74,Alcóolicas,37.74
2001-09-08,25955,Maria Santos Melo,29.62,Refrigerantes,37.62
2001-12-20,13108,Mariana Duarte Costa,18.81,"Alcóolicas, Sucos, Refrigerantes",79.81
2001-11-20,2167,Felipe Barros Mendes,75.34,Alcóolicas,96.34
2001-09-18,6695,Amanda Dias Teixeira,29.7,"Água, Refrigerantes",49.7
2001-11-17,3296,Tatiana Moreira,53.2,Água,57.2
2001-02-06,21394,Ana Costa Coelho,48.42,"Refrigerantes, Sucos",80.42
2001-03-29,2200,Renata Campos Castro,49.49,"Alcóolicas, Sucos",94.49
2001-09-30,12161,Patricia Rocha,35.7,"Água, Sucos, Alcóolicas",81.7
2001-02-06,18235,Marcelo Rezende Castro,77.55,Sucos,93.55
2001-09-28,3397,Mariana Duarte Lima,31.59,Água,43.59
2001-01-05,7645,Ricardo Barbosa,37.24,"Sucos, Alcóolicas",52.24
2001-06-27,21560,Tatiana Moreira Carvalho,48.99,"Água, Sucos",80.99
2001-12-18,9854,Patricia Rocha Moreira,55.61,"Água, Alcóolicas, Sucos",89.61
2001-05-17,1551,Beatriz Cardoso Duarte,59.74,"Água, Alcóolicas",77.74
2001-11-13,14630,Monica Batista Alves,26.26,"Sucos, Água, Alcóolicas",60.26
2001-11-22,8250,Bruno Castro Nascimento,42.61,Água,46.61
2001-05-31,21457,Vanessa Correia Ferreira,59.38,"Alcóolicas, Refrigerantes, Água",96.38
2001-11-20,8004,Juliana Lima Duarte,42.85,"Sucos, Água",66.85
2001-08-25,19005,Lucia Ferreira Castro,55.0,"Refrigerantes, Sucos",71.0
2001-01-06,4547,Alexandre Araújo Santos,48.04,Sucos,64.04
2001-10-23,1604,Marcos Pereira Farias,53.17,"Alcóolicas, Refrigerantes, Água",79.17
2001-07-20,20908,Fernanda Gomes Gomes,50.58,"Sucos, Água, Alcóolicas",69.58
2001-12-04,18624,Gabriel Ramos,26.72,"Refrigerantes, Água",46.72
2001-12-06,20948,Raquel Pires,55.37,"Refrigerantes, Alcóolicas, Sucos",102.37
2001-04-17,25836,Rafael Mendes Araújo,41.58,"Sucos, Alcóolicas",70.58
2001-09-27,23582,Henrique Lopes Santos,56.38,Água,64.38
2001-11-06,10599,Beatriz Cardoso Neves,33.08,"Alcóolicas, Água, Refrigerantes",74.08
2001-12-20,19253,Gabriel Ramos,36.75,"Sucos, Refrigerantes, Água",80.75
2001-03-13,18077,Lucia Ferreira Barros,39.46,"Alcóolicas, Sucos",70.46
2001-01-23,5372,Ricardo Barbosa,31.91,Refrigerantes,55.91
2001-01-24,15625,Adriana Farias,29.38,Sucos,53.38
2001-02-06,2669,Paulo Nascimento Castro,48.85,"Água, Alcóolicas, Refrigerantes",82.85
2001-07-04,24698,João Silva Vieira,35.41,"Sucos, Água, Alcóolicas",62.41
2001-04-10,24414,Diego Pinto Neves,45.22,"Alcóolicas, Água",78.22
2001-11-09,23055,Ricardo Barbosa Nascimento,22.66,Refrigerantes,38.66
2001-07-03,23652,Bruna Ribeiro,37.44,"Sucos, Água, Refrigerantes",85.44
2001-09-12,7574,Amanda Dias Neves,28.46,Sucos,44.46
2001-04-24,5694,Isabela Castro,33.59,"Sucos, Alcóolicas, Refrigerantes",94.59
2001-01-16,24467,Tatiana Moreira Correia,41.88,Alcóolicas,55.88
2001-05-01,17364,Marcos Pereira,53.91,"Água, Alcóolicas, Refrigerantes",86.91
2001-05-29,2020,Mariana Duarte Pires,22.12,Alcóolicas,43.12
2001-11-28,5471,Amanda Dias Pires,51.54,"Alcóolicas, Refrigerantes",73.54
2001-01-12,25394,Felipe Barros Castro,18.7,"Sucos, Refrigerantes",50.7
2001-07-31,8756,Fernando Alves Lima,33.42,Alcóolicas,47.42
2001-12-11,17707,Fernando Alves,34.53,"Sucos, Refrigerantes, Alcóolicas",64.53
2001-01-23,24974,Paulo Nascimento,41.64,"Água, Alcóolicas, Sucos",76.64
2001-06-28,7955,Eduardo Moura,44.78,Sucos,60.78
2001-02-13,6257,Vinicius Torres Neves,22.68,"Alcóolicas, Sucos, Água",71.68
2001-03-06,24371,Maria Santos Freitas,20.6,"Água, Refrigerantes, Sucos",64.6
2001-03-14,17019,Fernanda Gomes Ramos,31.32,Alcóolicas,38.32
2001-09-13,23922,Daniela Sousa,26.94,Água,38.94
2001-10-14,25743,Ana Costa Souza,91.39,"Água, Refrigerantes",119.39
2001-03-29,19833,José Carvalho,20.85,"Alcóolicas, Refrigerantes, Sucos",65.85
2001-01-16,18770,Isabela Castro Castro,40.8,"Sucos, Alcóolicas",63.8
2001-03-02,3136,Ricardo Barbosa Pereira,38.64,Água,42.64
2001-07-08,10975,José Carvalho,32.51,"Sucos, Água, Alcóolicas",81.51
2001-08-09,10084,Carolina Freitas Machado,42.65,"Refrigerantes, Água",66.65
2001-02-17,16195,Isabela Castro Moura,29.33,"Refrigerantes, Água, Sucos",77.33
2001-02-03,840,Monica Batista Lima,48.04,"Sucos, Água",76.04
2001-12-20,22985,Anderson Coelho,22.71,"Alcóolicas, Sucos, Água",65.71
2001-12-12,17952,Fernanda Gomes Pinto,30.06,"Água, Alcóolicas, Sucos",65.06
2001-12-15,22662,Roberto Martins Ribeiro,28.19,"Sucos, Alcóolicas, Refrigerantes",67.19
2001-09-04,19419,Carlos Souza Barros,30.42,Água,42.42
2001-05-22,12942,Paula Melo Silva,37.44,Alcóolicas,44.44
2001-02-24,21695,Vanessa Correia,86.45,"Água, Alcóolicas, Refrigerantes",143.45
2001-11-21,9882,Anderson Coelho Sousa,58.62,"Refrigerantes, Sucos",90.62
2001-10-02,25847,Simone Fonseca,100.96,"Refrigerantes, Água, Alcóolicas",130.96
2001-02-01,8808,Leonardo Vieira Fonseca,41.81,"Água, Sucos",73.81
2001-10-24,15481,Isabela Castro,20.86,"Água, Alcóolicas",35.86
2001-11-23,22976,Bruno Castro,31.21,"Refrigerantes, Alcóolicas, Água",76.21
2001-03-01,14884,Monica Batista Gomes,52.09,"Sucos, Alcóolicas",75.09
2001-03-31,4962,Mariana Duarte Correia,30.91,"Água, Sucos",46.91
2001-01-30,20251,Juliana Lima Batista,23.08,"Refrigerantes, Alcóolicas",53.08
2001-05-22,22764,Leticia Cunha Silva,53.25,Sucos,69.25
2001-05-24,1369,Marcos Pereira Barros,30.45,"Alcóolicas, Água, Refrigerantes",71.45
2001-04-18,23404,Paulo Nascimento Monteiro,22.94,"Alcóolicas, Sucos",67.94
2001-05-13,1425,Carlos Souza Silva,38.21,"Sucos, Água, Alcóolicas",79.21
2001-03-28,22666,Isabela Castro Cunha,54.02,"Água, Sucos",82.02
2001-11-07,4708,Vanessa Correia,42.09,Água,46.09
2001-11-29,24388,Maria Santos,21.21,"Refrigerantes, Sucos",61.21
2001-04-28,22946,Gustavo Azevedo Santos,45.91,"Refrigerantes, Água",61.91
2001-01-10,11818,João Silva Carvalho,29.98,"Alcóolicas, Sucos, Refrigerantes",90.98
2001-10-21,11817,Ricardo Barbosa Carvalho,37.19,"Água, Alcóolicas",48.19
2001-02-04,7762,Raquel Pires Farias,27.95,Refrigerantes,35.95
2001-12-18,4542,Leticia Cunha Oliveira,39.68,Refrigerantes,63.68
2001-03-31,4133,Bruno Castro Dias,41.56,Refrigerantes,49.56
2001-09-28,24762,Carlos Souza,50.72,Refrigerantes,66.72
2001-01-05,22816,Vanessa Correia Monteiro,30.06,"Sucos, Alcóolicas",68.06
2001-11-04,16038,Ana Costa Correia,43.22,"Alcóolicas, Sucos",58.22
2001-03-06,11316,Carlos Souza Lima,87.55,"Sucos, Água",107.55
2001-04-06,13743,José Carvalho Nascimento,22.55,"Água, Sucos, Alcóolicas",56.55
2001-06-12,10649,Fernanda Gomes Silva,38.1,"Refrigerantes, Água, Sucos",90.1
2001-10-18,11685,Henrique Lopes,55.77,"Água, Refrigerantes",79.77
2001-02-21,9956,Vanessa Correia Rodrigues,26.96,"Refrigerantes, Sucos, Alcóolicas",87.96
2001-03-20,2304,Adriana Farias Correia,54.8,Sucos,62.8
2001-03-04,21018,Marcelo Rezende Azevedo,18.52,"Sucos, Refrigerantes",50.52
2001-11-15,13022,Cristina Machado Duarte,18.35,"Alcóolicas, Água, Refrigerantes",44.35
2001-03-22,18781,Paulo Nascimento Souza,37.7,"Refrigerantes, Alcóolicas",74.7
2001-10-04,17631,Silvia Cavalcanti Rocha,18.38,"Alcóolicas, Água",47.38
2001-05-05,20584,Isabela Castro Coelho,61.45,Sucos,85.45
2001-02-03,3247,Tatiana Moreira Pereira,50.7,Sucos,74.7
2001-11-08,22974,Cristina Machado Coelho,24.53,Água,32.53
2001-03-08,14589,Renata Campos Gomes,21.21,Alcóolicas,35.21
2001-10-02,10597,Monica Batista Sousa,50.51,"Sucos, Refrigerantes, Alcóolicas",111.51
2001-08-18,18684,Camila Rodrigues Rodrigues,56.66,"Refrigerantes, Sucos",72.66
2001-02-23,14151,João Silva Ferreira,21.73,"Sucos, Refrigerantes",61.73
2001-01-30,17400,Lucia Ferreira Barbosa,27.49,"Água, Alcóolicas",45.49
2001-08-21,16535,João Silva Campos,31.59,"Alcóolicas, Refrigerantes",68.59
2001-11-15,1493,Adriana Farias,45.96,Refrigerantes,61.96
2001-12-09,13407,Roberto Martins,36.2,"Sucos, Alcóolicas",58.2
2001-11-27,12023,Fernando Alves,39.42,"Água, Refrigerantes, Alcóolicas",69.42
2001-02-13,11388,Silvia Cavalcanti,53.82,"Alcóolicas, Água",75.82
2001-02-20,13877,Tatiana Moreira Alves,46.79,"Sucos, Alcóolicas, Refrigerantes",76.79
2001-10-30,2998,Rafael Mendes Correia,38.47,"Refrigerantes, Água",62.47
2001-03-01,3955,Paulo Nascimento,27.79,"Refrigerantes, Sucos, Alcóolicas",65.79
2001-05-19,19577,Marcos Pereira Coelho,47.14,"Alcóolicas, Refrigerantes",76.14
2001-11-23,22184,Monica Batista,35.77,"Sucos, Refrigerantes, Alcóolicas",74.77
2001-11-11,9446,Maria Santos Castro,50.78,Sucos,58.78
2001-11-08,222,Raquel Pires Pinto,36.62,"Sucos, Água",60.62
2001-09-04,9149,Daniela Sousa Pinto,27.49,Água,39.49
2001-02-22,13757,Henrique Lopes,29.09,Refrigerantes,53.09
2001-02-18,22266,Vanessa Correia Duarte,27.76,Refrigerantes,35.76
2001-09-29,11058,Rodrigo Neves Moura,46.82,Sucos,70.82
2001-07-25,4972,Thiago Monteiro Farias,79.88,Refrigerantes,103.88
2001-01-28,4178,Fernando Alves Moura,49.16,"Refrigerantes, Alcóolicas",72.16
2001-04-05,1390,Felipe Barros Azevedo,49.34,"Água, Alcóolicas, Sucos",102.34
2001-01-13,10160,Vinicius Torres,27.45,Refrigerantes,51.45
2001-01-17,3660,Raquel Pires Ramos,50.75,"Água, Alcóolicas, Sucos",107.75
2001-03-30,2953,Pedro Oliveira Barros,39.73,"Refrigerantes, Alcóolicas",61.73
2001-11-22,15218,Beatriz Cardoso,52.75,"Sucos, Alcóolicas",67.75
2001-11-15,16405,Camila Rodrigues,55.84,Água,63.84
2001-01-23,1293,Carolina Freitas Machado,26.74,"Sucos, Alcóolicas",48.74
2001-11-11,12883,Ricardo Barbosa Carvalho,48.58,Sucos,64.58
2001-06-07,14879,Vinicius Torres,29.2,"Água, Refrigerantes",49.2
2001-01-23,18505,Beatriz Cardoso,55.6,Água,67.6
2001-02-13,701,Daniela Sousa Machado,21.46,Sucos,37.46
2001-03-02,19884,Amanda Dias Lopes,69.16,"Sucos, Água",97.16
2001-03-17,6135,Camila Rodrigues Moura,58.75,"Sucos, Alcóolicas, Água",91.75
2001-10-16,22289,José Carvalho Alves,28.78,"Alcóolicas, Sucos",50.78
2001-05-15,407,Alexandre Araújo Carvalho,32.13,Água,36.13
2001-08-30,12677,Alexandre Araújo Azevedo,51.1,"Água, Alcóolicas, Sucos",108.1
2002-01-01,17481,Alexandre Araújo Machado,22.76,"Água, Alcóolicas",41.76
2001-03-22,8538,Juliana Lima,52.52,"Sucos, Água, Alcóolicas",93.52
2001-01-25,14663,Diego Pinto Freitas,38.68,"Sucos, Água",58.68
2001-02-06,15446,Renata Campos Sousa,29.4,Alcóolicas,50.4
2001-02-03,17979,José Carvalho,53.35,Sucos,69.35
2001-11-18,17991,Vinicius Torres Alves,47.39,Água,51.39
2001-05-30,22625,Isabela Castro Batista,31.63,"Alcóolicas, Sucos",46.63
2001-12-25,10677,Renata Campos Gomes,53.16,"Refrigerantes, Alcóolicas, Água",106.16
2001-11-13,14194,Fernanda Gomes,47.92,"Refrigerantes, Alcóolicas, Água",90.92
2001-05-15,24160,Monica Batista Souza,27.54,"Água, Sucos, Alcóolicas",77.54
2001-01-03,15937,Camila Rodrigues,34.86,"Água, Refrigerantes",58.86
2001-12-23,18039,João Silva Souza,55.24,"Alcóolicas, Água, Refrigerantes",88.24
2001-05-04,14383,Diego Pinto,45.32,"Refrigerantes, Alcóolicas, Sucos",92.32
2001-10-18,22444,Rafael Mendes Martins,36.55,"Água, Alcóolicas, Refrigerantes",73.55
2001-02-24,6785,Simone Fonseca Rodrigues,37.36,"Sucos, Água, Alcóolicas",86.36
2001-04-11,14934,Paula Melo,33.66,"Sucos, Alcóolicas",48.66
2001-01-14,24950,Eduardo Moura,59.29,Sucos,83.29
2001-03-27,10514,Isabela Castro Araújo,57.51,"Sucos, Água",93.51
2001-09-01,25996,Raquel Pires Silva,54.96,Água,58.96
2001-11-09,25026,Paulo Nascimento Barros,49.74,Água,53.74
2001-02-15,1183,Lucas Teixeira Cunha,40.37,Refrigerantes,48.37
2001-11-27,19444,Camila Rodrigues,57.94,Água,61.94
2001-02-18,9655,Carlos Souza Nascimento,36.08,"Refrigerantes, Alcóolicas",67.08
2001-11-09,22880,Rafael Mendes,32.77,Refrigerantes,48.77
2001-03-03,23799,Fernando Alves Correia,54.44,Sucos,62.44
2001-02-09,9661,Vinicius Torres Araújo,31.73,"Refrigerantes, Água",59.73
2001-04-29,15121,Amanda Dias,19.28,Água,31.28
2001-03-15,7096,Bruno Castro Monteiro,51.12,"Alcóolicas, Água",66.12
2001-10-27,7254,Vinicius Torres Rodrigues,47.06,"Alcóolicas, Sucos",70.06
2001-10-05,4741,Henrique Lopes Torres,27.07,"Refrigerantes, Sucos",59.07
2001-08-07,18973,Fernanda Gomes Cardoso,39.36,Alcóolicas,53.36
2001-01-27,17489,Marcelo Rezende Rezende,32.5,"Sucos, Refrigerantes",48.5
2001-12-01,22875,Patricia Rocha,37.21,"Sucos, Água, Alcóolicas",79.21
2001-11-20,17521,Simone Fonseca,51.71,"Alcóolicas, Sucos, Refrigerantes",98.71
2001-03-27,21697,Roberto Martins,53.49,"Refrigerantes, Água, Sucos",93.49
2001-03-04,22052,Isabela Castro Ribeiro,51.23,"Sucos, Refrigerantes, Alcóolicas",112.23
2001-11-28,1887,Isabela Castro,21.74,"Alcóolicas, Água",50.74
2001-05-05,1984,Lucas Teixeira Araújo,40.3,Sucos,64.3
2001-11-04,20284,Fernando Alves Mendes,40.43,"Sucos, Alcóolicas",71.43
2001-07-17,21185,Eduardo Moura Cunha,18.18,Refrigerantes,26.18
2001-01-14,5577,Gabriel Ramos,29.93,"Água, Alcóolicas",58.93
2001-02-01,4407,José Carvalho Farias,58.82,Alcóolicas,65.82
2001-02-17,14387,Paulo Nascimento,29.96,"Refrigerantes, Água, Alcóolicas",86.96
2001-03-16,5886,Thiago Monteiro,25.64,"Alcóolicas, Água",47.64
2001-10-13,5960,Gustavo Azevedo,43.38,"Água, Sucos, Refrigerantes",79.38
2001-04-24,20759,Amanda Dias,39.83,"Sucos, Água, Alcóolicas",80.83
2001-04-18,9953,Bruno Castro Lima,19.81,"Alcóolicas, Refrigerantes",41.81
2001-12-19,18893,Rafael Mendes Rezende,59.54,"Água, Refrigerantes, Sucos",107.54
2001-01-05,9036,Pedro Oliveira Souza,50.69,"Refrigerantes, Água, Alcóolicas",88.69
2001-05-04,7832,Amanda Dias Castro,30.48,Refrigerantes,54.48
2001-12-18,6704,Alexandre Araújo Santos,42.44,"Sucos, Alcóolicas, Água",88.44
2001-07-06,11339,Raquel Pires Ramos,38.28,"Alcóolicas, Água, Sucos",73.28
2001-01-14,2096,Adriana Farias Gomes,47.09,Água,51.09
2001-12-14,9566,Roberto Martins Pinto,55.68,"Água, Sucos",83.68
2001-11-08,3171,Tatiana Moreira Campos,37.61,Alcóolicas,51.61
2001-09-11,16019,Rodrigo Neves Coelho,34.89,Refrigerantes,42.89
2001-11-15,7465,Vinicius Torres Lopes,51.84,Alcóolicas,58.84
2001-02-04,57,Pedro Oliveira Freitas,39.48,"Alcóolicas, Sucos, Água",58.48
2001-12-28,8518,Simone Fonseca,57.98,Sucos,81.98
2001-08-29,24513,Alexandre Araújo Torres,57.93,"Refrigerantes, Água, Sucos",105.93
2001-02-03,14868,Juliana Lima Cardoso,22.05,"Alcóolicas, Refrigerantes",67.05
2001-03-04,21135,Simone Fonseca Barbosa,30.19,"Sucos, Alcóolicas, Água",60.19
2001-11-18,17271,Rodrigo Neves Dias,20.07,Refrigerantes,28.07
2001-11-08,23194,Carolina Freitas,46.43,Refrigerantes,54.43
2001-10-23,12306,Daniela Sousa Pereira,27.7,"Sucos, Alcóolicas",72.7
2001-07-17,106,Simone Fonseca,26.02,Refrigerantes,42.02
2001-03-15,13799,Leticia Cunha Ribeiro,38.46,"Alcóolicas, Refrigerantes",83.46
2001-09-14,4416,Adriana Farias,19.93,"Sucos, Alcóolicas",48.93
2001-08-28,384,Gabriel Ramos Dias,59.75,"Água, Alcóolicas, Refrigerantes",116.75
2001-09-07,3586,Marcelo Rezende Nascimento,43.02,"Alcóolicas, Sucos, Refrigerantes",96.02
2001-02-22,18901,Mariana Duarte Correia,47.7,"Refrigerantes, Alcóolicas, Água",86.7
2001-10-24,6616,Rafael Mendes Cardoso,62.28,"Refrigerantes, Água, Alcóolicas",111.28
2001-01-09,6787,Felipe Barros,27.15,"Refrigerantes, Alcóolicas, Água",69.15
2001-03-16,10920,Mariana Duarte,45.86,Alcóolicas,59.86
2001-12-18,13905,Anderson Coelho Azevedo,63.53,Sucos,79.53
2001-03-03,250,Beatriz Cardoso Ferreira,41.68,Alcóolicas,55.68
2001-01-25,21658,Eduardo Moura Dias,105.33,Refrigerantes,121.33
2001-11-20,9042,Raquel Pires Sousa,20.16,"Água, Sucos, Alcóolicas",61.16
2001-02-16,11022,Isabela Castro,44.73,Refrigerantes,60.73
2001-03-09,21001,Fernanda Gomes Oliveira,47.59,Refrigerantes,55.59
2001-10-26,14593,Cristina Machado Gomes,26.88,"Sucos, Refrigerantes",66.88
2001-03-02,2183,Monica Batista Pereira,56.91,"Alcóolicas, Água",67.91
2001-01-19,4306,Roberto Martins Melo,32.54,Sucos,56.54
