ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
29,Anderson Coelho Farias,51,Oeste,Dependente (28),Desativada,Fora da validade,2001-09-30,2002-09-30,Sim
30,Renata Campos,59,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-07-24,2011-07-22,Não
31,João Silva,32,Oeste,Sem Contrato,Ativada,Fora da validade,2001-10-30,2011-10-28,Não
32,Alexandre Araújo,50,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-06-19,2002-06-19,Sim
33,Rodrigo Neves Araújo,56,Oeste,Dependente (32),Ativada,Dentro da validade,,,Sim
34,Thiago Monteiro Araújo,32,Oeste,Dependente (32),Ativada,Fora da validade,,,Sim
35,Cristina Machado Araújo,46,Oeste,Dependente (32),Ativada,Dentro da validade,,,Sim
36,Felipe Barros,33,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-06-23,2002-06-23,Não
37,Carlos Souza Barros,33,Oeste,Dependente (36),Desativada,Fora da validade,2001-06-23,2002-06-23,Sim
38,Juliana Lima,59,Oeste,Sem Contrato,Desativada,Fora da validade,2001-02-20,2002-02-20,Não
39,Vanessa Correia Lima,62,Oeste,Dependente (38),Ativada,Dentro da validade,,,Sim
40,Paulo Nascimento Lima,64,Oeste,Dependente (38),Desativada,Dentro da validade,2001-02-20,2002-02-20,Sim
41,Marcelo Rezende Lima,55,Oeste,Dependente (38),Ativada,Fora da validade,,,Sim
42,Ana Costa,36,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-03-21,2002-03-21,Sim
43,Renata Campos,48,Oeste,Sem Contrato,Ativada,Fora da validade,2001-01-26,2011-01-24,Não
44,Carlos Souza Campos,48,Oeste,Dependente (43),Desativada,Dentro da validade,,,Sim
45,Raquel Pires,55,Oeste,Sem Contrato,Ativada,Fora da validade,2001-10-19,2002-10-19,Não
46,Camila Rodrigues Pires,47,Oeste,Dependente (45),Desativada,Dentro da validade,2001-10-19,2002-10-19,Sim
47,Alexandre Araújo Pires,46,Oeste,Dependente (45),Ativada,Dentro da validade,,,Sim
48,Bruno Castro,47,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-02-07,2002-02-07,Não
49,Thiago Monteiro Castro,61,Oeste,Dependente (48),Ativada,Dentro da validade,,,Sim
50,Gustavo Azevedo Castro,58,Oeste,Dependente (48),Ativada,Dentro da validade,,,Sim
51,Adriana Farias,18,Oeste,Sem Contrato,Ativada,Fora da validade,2001-12-01,2011-11-29,Sim
52,Fernando Alves Farias,52,Oeste,Dependente (51),Ativada,Dentro da validade,,,Sim
53,Monica Batista,63,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-11-06,2002-11-06,Não
54,João Silva,45,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-17,2011-02-15,Sim
55,Adriana Farias Silva,50,Oeste,Dependente (54),Ativada,Dentro da validade,,,Sim
56,Carolina Freitas,27,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-08,2011-02-06,Não
57,Pedro Oliveira Freitas,62,Oeste,Dependente (56),Ativada,Fora da validade,,,Sim
58,Thiago Monteiro Freitas,54,Oeste,Dependente (56),Ativada,Fora da validade,,,Sim
59,Marcos Pereira,27,Oeste,Sem Contrato,Desativada,Fora da validade,2001-11-14,2011-11-12,Sim
60,Alexandre Araújo,39,Sul,Sem Contrato,Desativada,Fora da validade,2001-04-03,2011-04-01,Não
61,Diego Pinto Araújo,60,Sul,Dependente (60),Ativada,Dentro da validade,,,Sim
62,Leticia Cunha Araújo,27,Sul,Dependente (60),Ativada,Fora da validade,,,Sim
63,Maria Santos Araújo,47,Sul,Dependente (60),Ativada,Dentro da validade,,,Sim
64,Simone Fonseca Araújo,22,Sul,Dependente (60),Ativada,Dentro da validade,2001-04-03,2011-04-01,Sim
65,Felipe Barros Araújo,26,Sul,Dependente (60),Desativada,Dentro da validade,,,Sim
66,Fernanda Gomes Araújo,42,Sul,Dependente (60),Desativada,Dentro da validade,2001-04-03,2011-04-01,Sim
67,Rafael Mendes,45,Oeste,Sem Contrato,Ativada,Fora da validade,2001-02-25,2011-02-23,Não
68,Pedro Oliveira Mendes,50,Oeste,Dependente (67),Ativada,Dentro da validade,,,Sim
69,Monica Batista Mendes,51,Oeste,Dependente (67),Desativada,Fora da validade,2001-02-25,2011-02-23,Sim
70,Bruna Ribeiro Mendes,9,Oeste,Dependente (67),Desativada,Fora da validade,,,Sim
71,Alexandre Araújo Mendes,59,Oeste,Dependente (67),Ativada,Fora da validade,,,Sim
72,Vanessa Correia,60,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-09-18,2006-09-17,Não
73,Monica Batista Correia,52,Oeste,Dependente (72),Desativada,Fora da validade,2001-09-18,2006-09-17,Sim
74,Adriana Farias Correia,58,Oeste,Dependente (72),Ativada,Dentro da validade,,,Sim
75,Daniela Sousa Correia,43,Oeste,Dependente (72),Desativada,Dentro da validade,,,Sim
76,Camila Rodrigues Correia,37,Oeste,Dependente (72),Ativada,Fora da validade,,,Sim
77,Marcos Pereira Correia,47,Oeste,Dependente (72),Ativada,Dentro da validade,,,Sim
78,Anderson Coelho,39,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-11-21,2011-11-19,Sim
79,Amanda Dias Coelho,35,Oeste,Dependente (78),Desativada,Fora da validade,,,Sim
80,Silvia Cavalcanti,58,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-08-22,2006-08-21,Não
81,Anderson Coelho Cavalcanti,60,Oeste,Dependente (80),Desativada,Dentro da validade,,,Sim
82,Fernanda Gomes Cavalcanti,56,Oeste,Dependente (80),Desativada,Dentro da validade,,,Sim
83,Amanda Dias Cavalcanti,63,Oeste,Dependente (80),Desativada,Dentro da validade,,,Sim
84,Alexandre Araújo Cavalcanti,38,Oeste,Dependente (80),Desativada,Dentro da validade,2001-08-22,2006-08-21,Sim
85,Gustavo Azevedo Cavalcanti,44,Oeste,Dependente (80),Desativada,Fora da validade,2001-08-22,2006-08-21,Sim
86,Rodrigo Neves,46,Norte,Sem Contrato,Ativada,Fora da validade,2001-08-07,2011-08-05,Sim
87,Renata Campos Neves,36,Norte,Dependente (86),Desativada,Dentro da validade,,,Sim
88,Gabriel Ramos Neves,20,Norte,Dependente (86),Ativada,Dentro da validade,,,Sim
89,Diego Pinto,26,Oeste,Sem Contrato,Desativada,Fora da validade,2001-10-04,2002-10-04,Não
90,Leticia Cunha Pinto,31,Oeste,Dependente (89),Ativada,Fora da validade,,,Sim
91,Simone Fonseca Pinto,42,Oeste,Dependente (89),Desativada,Dentro da validade,,,Sim
92,Bruno Castro Pinto,29,Oeste,Dependente (89),Ativada,Fora da validade,2001-10-04,2002-10-04,Sim
93,Paula Melo,44,Oeste,Sem Contrato,Ativada,Fora da validade,2001-06-02,2006-06-01,Não
94,Mariana Duarte Melo,6,Oeste,Dependente (93),Ativada,Fora da validade,,,Sim
95,Raquel Pires,28,Oeste,Sem Contrato,Ativada,Fora da validade,2001-07-27,2011-07-25,Não
96,Cristina Machado Pires,32,Oeste,Dependente (95),Ativada,Dentro da validade,,,Sim
97,Diego Pinto Pires,25,Oeste,Dependente (95),Ativada,Dentro da validade,,,Sim
98,Diego Pinto Pires,22,Oeste,Dependente (95),Desativada,Fora da validade,,,Sim
99,Juliana Lima Pires,35,Oeste,Dependente (95),Ativada,Dentro da validade,,,Sim
100,Thiago Monteiro Pires,19,Oeste,Dependente (95),Desativada,Fora da validade,2001-07-27,2011-07-25,Sim
101,Amanda Dias,66,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-11-30,2002-11-30,Não
102,Patricia Rocha Dias,41,Oeste,Dependente (101),Desativada,Dentro da validade,,,Sim
103,Paula Melo,28,Oeste,Sem Contrato,Desativada,Fora da validade,2001-05-12,2006-05-11,Não
104,Maria Santos Melo,64,Oeste,Dependente (103),Ativada,Fora da validade,,,Sim
105,Vanessa Correia Melo,65,Oeste,Dependente (103),Desativada,Dentro da validade,2001-05-12,2006-05-11,Sim
106,Simone Fonseca,33,Oeste,Sem Contrato,Ativada,Fora da validade,2001-12-20,2011-12-18,Sim
107,Pedro Oliveira Fonseca,27,Oeste,Dependente (106),Ativada,Fora da validade,2001-12-20,2011-12-18,Sim
108,Cristina Machado Fonseca,26,Oeste,Dependente (106),Ativada,Dentro da validade,,,Sim
109,Bruna Ribeiro Fonseca,28,Oeste,Dependente (106),Desativada,Fora da validade,,,Sim
110,Bruna Ribeiro Fonseca,16,Oeste,Dependente (106),Desativada,Fora da validade,,,Sim
111,Felipe Barros Fonseca,54,Oeste,Dependente (106),Ativada,Dentro da validade,,,Sim
112,Tatiana Moreira Fonseca,25,Oeste,Dependente (106),Desativada,Fora da validade,,,Sim
113,Leticia Cunha,46,Oeste,Sem Contrato,Ativada,Fora da validade,2001-02-14,2006-02-13,Não
114,Fernanda Gomes Cunha,36,Oeste,Dependente (113),Ativada,Fora da validade,2001-02-14,2006-02-13,Sim
115,Henrique Lopes Cunha,49,Oeste,Dependente (113),Desativada,Dentro da validade,,,Sim
116,Ricardo Barbosa Cunha,10,Oeste,Dependente (113),Ativada,Dentro da validade,,,Sim
117,Silvia Cavalcanti,62,Oeste,Sem Contrato,Ativada,Fora da validade,2001-10-12,2002-10-12,Não
118,Amanda Dias Cavalcanti,24,Oeste,Dependente (117),Desativada,Dentro da validade,,,Sim
119,Paula Melo,40,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-10-11,2011-10-09,Não
120,Patricia Rocha Melo,51,Oeste,Dependente (119),Ativada,Dentro da validade,,,Sim
121,Anderson Coelho Melo,49,Oeste,Dependente (119),Ativada,Dentro da validade,,,Sim
122,Anderson Coelho,64,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-09-05,2006-09-04,Não
123,Carolina Freitas Coelho,16,Oeste,Dependente (122),Ativada,Fora da validade,,,Sim
124,Gabriel Ramos,20,Norte,Sem Contrato,Desativada,Dentro da validade,2001-03-06,2006-03-05,Sim
125,João Silva Ramos,41,Norte,Dependente (124),Ativada,Dentro da validade,,,Sim
126,Ana Costa Ramos,21,Norte,Dependente (124),Desativada,Dentro da validade,,,Sim
127,Vanessa Correia Ramos,36,Norte,Dependente (124),Ativada,Fora da validade,2001-03-06,2006-03-05,Sim
128,Juliana Lima,27,Sul,Sem Contrato,Desativada,Dentro da validade,2001-01-28,2002-01-28,Sim
129,Diego Pinto Lima,33,Sul,Dependente (128),Desativada,Dentro da validade,,,Sim
130,Ana Costa,37,Oeste,Sem Contrato,Desativada,Fora da validade,2001-10-30,2006-10-29,Sim
131,Paulo Nascimento Costa,47,Oeste,Dependente (130),Ativada,Dentro da validade,,,Sim
132,Gustavo Azevedo,28,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-10-10,2002-10-10,Não
133,Vinicius Torres Azevedo,60,Oeste,Dependente (132),Ativada,Fora da validade,,,Sim
134,Leonardo Vieira Azevedo,42,Oeste,Dependente (132),Desativada,Fora da validade,2001-10-10,2002-10-10,Sim
135,Lucia Ferreira,52,Oeste,Sem Contrato,Desativada,Fora da validade,2001-08-07,2002-08-07,Não
136,Henrique Lopes Ferreira,52,Oeste,Dependente (135),Desativada,Fora da validade,,,Sim
137,Vinicius Torres,47,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-08-14,2002-08-14,Não
138,Pedro Oliveira Torres,61,Oeste,Dependente (137),Ativada,Dentro da validade,,,Sim
139,Juliana Lima Torres,19,Oeste,Dependente (137),Desativada,Fora da validade,,,Sim
140,Maria Santos Torres,53,Oeste,Dependente (137),Desativada,Dentro da validade,,,Sim
141,Gustavo Azevedo,48,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-01-21,2002-01-21,Não
142,Rodrigo Neves Azevedo,27,Oeste,Dependente (141),Ativada,Dentro da validade,2001-01-21,2002-01-21,Sim
143,Marcos Pereira Azevedo,26,Oeste,Dependente (141),Ativada,Dentro da validade,,,Sim
144,Vanessa Correia Azevedo,57,Oeste,Dependente (141),Desativada,Dentro da validade,,,Sim
145,Simone Fonseca,34,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-15,2006-02-14,Sim
146,Leticia Cunha Fonseca,31,Oeste,Dependente (145),Ativada,Dentro da validade,2001-02-15,2006-02-14,Sim
147,Mariana Duarte Fonseca,45,Oeste,Dependente (145),Ativada,Dentro da validade,,,Sim
148,Roberto Martins Fonseca,64,Oeste,Dependente (145),Ativada,Fora da validade,,,Sim
149,Maria Santos Fonseca,45,Oeste,Dependente (145),Desativada,Dentro da validade,,,Sim
150,Adriana Farias Fonseca,5,Oeste,Dependente (145),Ativada,Dentro da validade,,,Sim
151,Lucia Ferreira,25,Oeste,Sem Contrato,Ativada,Fora da validade,2001-02-28,2006-02-27,Não
152,Rodrigo Neves Ferreira,35,Oeste,Dependente (151),Ativada,Dentro da validade,,,Sim
153,Henrique Lopes Ferreira,37,Oeste,Dependente (151),Desativada,Dentro da validade,,,Sim
154,Beatriz Cardoso,67,Sul,Sem Contrato,Desativada,Dentro da validade,2001-02-06,2006-02-05,Sim
155,Daniela Sousa Cardoso,42,Sul,Dependente (154),Desativada,Dentro da validade,,,Sim
156,Felipe Barros Cardoso,35,Sul,Dependente (154),Ativada,Dentro da validade,,,Sim
157,Vinicius Torres,47,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-10-06,2006-10-05,Sim
158,Paula Melo Torres,35,Oeste,Dependente (157),Desativada,Fora da validade,,,Sim
159,Alexandre Araújo Torres,55,Oeste,Dependente (157),Desativada,Fora da validade,,,Sim
160,Pedro Oliveira Torres,13,Oeste,Dependente (157),Ativada,Dentro da validade,,,Sim
161,Leticia Cunha,24,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-02-21,2006-02-20,Sim
162,Paulo Nascimento Cunha,26,Oeste,Dependente (161),Desativada,Dentro da validade,,,Sim
163,Rafael Mendes,61,Sul,Sem Contrato,Desativada,Fora da validade,2001-02-11,2006-02-10,Não
164,Carlos Souza Mendes,20,Sul,Dependente (163),Desativada,Fora da validade,,,Sim
165,Paula Melo Mendes,10,Sul,Dependente (163),Ativada,Dentro da validade,2001-02-11,2006-02-10,Sim
166,Fernando Alves Mendes,33,Sul,Dependente (163),Ativada,Dentro da validade,,,Sim
167,Rafael Mendes Mendes,55,Sul,Dependente (163),Ativada,Dentro da validade,,,Sim
168,Bruno Castro,33,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-08-09,2002-08-09,Não
169,Amanda Dias Castro,36,Oeste,Dependente (168),Desativada,Dentro da validade,,,Sim
170,Paulo Nascimento Castro,34,Oeste,Dependente (168),Ativada,Dentro da validade,,,Sim
171,Gabriel Ramos Castro,48,Oeste,Dependente (168),Ativada,Dentro da validade,2001-08-09,2002-08-09,Sim
172,Bruna Ribeiro,37,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-06-26,2011-06-24,Não
173,Fernando Alves Ribeiro,20,Oeste,Dependente (172),Ativada,Dentro da validade,2001-06-26,2011-06-24,Sim
174,Vinicius Torres Ribeiro,23,Oeste,Dependente (172),Ativada,Fora da validade,,,Sim
175,João Silva Ribeiro,41,Oeste,Dependente (172),Desativada,Fora da validade,,,Sim
176,Gabriel Ramos,65,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-01-26,2011-01-24,Sim
177,Raquel Pires Ramos,21,Oeste,Dependente (176),Desativada,Fora da validade,,,Sim
178,Leonardo Vieira,26,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-12-04,2011-12-02,Não
179,Roberto Martins Vieira,10,Oeste,Dependente (178),Desativada,Dentro da validade,,,Sim
180,Ricardo Barbosa Vieira,13,Oeste,Dependente (178),Desativada,Fora da validade,,,Sim
181,Eduardo Moura Vieira,63,Oeste,Dependente (178),Ativada,Dentro da validade,,,Sim
182,Rodrigo Neves Vieira,56,Oeste,Dependente (178),Ativada,Fora da validade,2001-12-04,2011-12-02,Sim
183,José Carvalho,22,Oeste,Sem Contrato,Desativada,Fora da validade,2001-02-28,2006-02-27,Sim
184,Vanessa Correia Carvalho,5,Oeste,Dependente (183),Ativada,Dentro da validade,,,Sim
185,Paula Melo Carvalho,48,Oeste,Dependente (183),Ativada,Dentro da validade,,,Sim
186,Carolina Freitas Carvalho,11,Oeste,Dependente (183),Desativada,Dentro da validade,,,Sim
187,Adriana Farias Carvalho,25,Oeste,Dependente (183),Desativada,Dentro da validade,,,Sim
188,Cristina Machado,47,Sul,Sem Contrato,Ativada,Dentro da validade,2001-02-02,2011-01-31,Sim
189,Patricia Rocha Machado,11,Sul,Dependente (188),Ativada,Dentro da validade,2001-02-02,2011-01-31,Sim
190,Carolina Freitas Machado,47,Sul,Dependente (188),Desativada,Fora da validade,,,Sim
191,Lucas Teixeira,55,Oeste,Sem Contrato,Desativada,Fora da validade,2001-10-04,2006-10-03,Sim
192,Carolina Freitas Teixeira,18,Oeste,Dependente (191),Ativada,Fora da validade,,,Sim
193,Fernando Alves Teixeira,48,Oeste,Dependente (191),Ativada,Fora da validade,2001-10-04,2006-10-03,Sim
194,Ricardo Barbosa,21,Oeste,Sem Contrato,Desativada,Fora da validade,2001-11-27,2006-11-26,Sim
195,Maria Santos,59,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-12-06,2002-12-06,Sim
196,Anderson Coelho Santos,40,Oeste,Dependente (195),Ativada,Dentro da validade,,,Sim
197,Henrique Lopes,67,Oeste,Sem Contrato,Ativada,Fora da validade,2001-05-01,2006-04-30,Não
198,Fernanda Gomes Lopes,12,Oeste,Dependente (197),Desativada,Dentro da validade,,,Sim
199,Rafael Mendes,68,Norte,Sem Contrato,Ativada,Dentro da validade,2001-01-09,2006-01-08,Não
200,Paula Melo Mendes,9,Norte,Dependente (199),Ativada,Fora da validade,,,Sim
201,Fernando Alves Mendes,33,Norte,Dependente (199),Ativada,Fora da validade,,,Sim
202,Alexandre Araújo Mendes,38,Norte,Dependente (199),Ativada,Fora da validade,,,Sim
203,Monica Batista,48,Sul,Sem Contrato,Ativada,Fora da validade,2001-01-16,2002-01-16,Não
204,Tatiana Moreira,27,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-06-14,2011-06-12,Sim
205,Renata Campos Moreira,23,Oeste,Dependente (204),Ativada,Fora da validade,2001-06-14,2011-06-12,Sim
206,Vinicius Torres Moreira,12,Oeste,Dependente (204),Desativada,Fora da validade,,,Sim
207,Marcelo Rezende Moreira,60,Oeste,Dependente (204),Ativada,Dentro da validade,,,Sim
208,Lucas Teixeira,39,Sul,Sem Contrato,Desativada,Dentro da validade,2001-04-27,2006-04-26,Não
209,Lucia Ferreira Teixeira,48,Sul,Dependente (208),Desativada,Dentro da validade,,,Sim
210,Juliana Lima Teixeira,32,Sul,Dependente (208),Ativada,Fora da validade,2001-04-27,2006-04-26,Sim
211,Adriana Farias,21,Oeste,Sem Contrato,Ativada,Fora da validade,2001-03-08,2011-03-06,Não
212,Anderson Coelho Farias,32,Oeste,Dependente (211),Desativada,Fora da validade,,,Sim
213,Henrique Lopes Farias,24,Oeste,Dependente (211),Ativada,Dentro da validade,2001-03-08,2011-03-06,Sim
214,Alexandre Araújo Farias,35,Oeste,Dependente (211),Ativada,Dentro da validade,,,Sim
215,Carolina Freitas Farias,12,Oeste,Dependente (211),Desativada,Dentro da validade,2001-03-08,2011-03-06,Sim
216,Adriana Farias Farias,54,Oeste,Dependente (211),Desativada,Fora da validade,2001-03-08,2011-03-06,Sim
217,Maria Santos Farias,43,Oeste,Dependente (211),Desativada,Fora da validade,,,Sim
218,Anderson Coelho,29,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-05-17,2002-05-17,Não
219,Vanessa Correia Coelho,9,Oeste,Dependente (218),Ativada,Fora da validade,,,Sim
220,Diego Pinto,65,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-01-16,2002-01-16,Não
221,Bruno Castro Pinto,43,Oeste,Dependente (220),Ativada,Dentro da validade,,,Sim
222,Raquel Pires Pinto,8,Oeste,Dependente (220),Desativada,Dentro da validade,,,Sim
223,Lucas Teixeira,49,Oeste,Sem Contrato,Ativada,Fora da validade,2001-12-05,2006-12-04,Não
224,Monica Batista Teixeira,48,Oeste,Dependente (223),Ativada,Dentro da validade,,,Sim
225,José Carvalho Teixeira,30,Oeste,Dependente (223),Desativada,Dentro da validade,,,Sim
226,Camila Rodrigues Teixeira,54,Oeste,Dependente (223),Ativada,Dentro da validade,,,Sim
227,Bruna Ribeiro,18,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-06-17,2002-06-17,Sim
228,Paula Melo Ribeiro,7,Oeste,Dependente (227),Ativada,Dentro da validade,,,Sim
229,Rafael Mendes Ribeiro,41,Oeste,Dependente (227),Ativada,Dentro da validade,,,Sim
230,Maria Santos,36,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-11-24,2006-11-23,Sim
231,Carolina Freitas Santos,10,Oeste,Dependente (230),Ativada,Dentro da validade,2001-11-24,2006-11-23,Sim
232,Vanessa Correia Santos,38,Oeste,Dependente (230),Ativada,Fora da validade,,,Sim
233,José Carvalho Santos,26,Oeste,Dependente (230),Desativada,Dentro da validade,,,Sim
234,Simone Fonseca,51,Oeste,Sem Contrato,Ativada,Fora da validade,2001-11-21,2002-11-21,Sim
235,Lucia Ferreira Fonseca,21,Oeste,Dependente (234),Ativada,Fora da validade,,,Sim
236,Mariana Duarte,29,Norte,Sem Contrato,Ativada,Dentro da validade,2001-12-02,2002-12-02,Não
237,Leonardo Vieira Duarte,25,Norte,Dependente (236),Ativada,Dentro da validade,2001-12-02,2002-12-02,Sim
238,Isabela Castro Duarte,55,Norte,Dependente (236),Ativada,Dentro da validade,,,Sim
239,Pedro Oliveira,37,Oeste,Sem Contrato,Ativada,Fora da validade,2001-09-18,2002-09-18,Não
240,Daniela Sousa,50,Oeste,Sem Contrato,Ativada,Fora da validade,2001-11-11,2011-11-09,Sim
241,Bruno Castro Sousa,46,Oeste,Dependente (240),Ativada,Fora da validade,2001-11-11,2011-11-09,Sim
242,Ana Costa Sousa,33,Oeste,Dependente (240),Ativada,Fora da validade,,,Sim
243,Silvia Cavalcanti Sousa,10,Oeste,Dependente (240),Ativada,Dentro da validade,,,Sim
244,Renata Campos,46,Norte,Sem Contrato,Desativada,Dentro da validade,2001-05-08,2011-05-06,Sim
245,Beatriz Cardoso Campos,48,Norte,Dependente (244),Ativada,Fora da validade,,,Sim
246,Carlos Souza Campos,26,Norte,Dependente (244),Ativada,Fora da validade,,,Sim
247,Marcelo Rezende Campos,59,Norte,Dependente (244),Desativada,Fora da validade,,,Sim
248,Lucia Ferreira,23,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-03-18,2006-03-17,Sim
249,Henrique Lopes Ferreira,50,Oeste,Dependente (248),Desativada,Dentro da validade,,,Sim
250,Beatriz Cardoso Ferreira,57,Oeste,Dependente (248),Ativada,Fora da validade,,,Sim
251,Monica Batista Ferreira,63,Oeste,Dependente (248),Ativada,Fora da validade,2001-03-18,2006-03-17,Sim
252,Carolina Freitas Ferreira,6,Oeste,Dependente (248),Ativada,Dentro da validade,,,Sim
253,Simone Fonseca Ferreira,36,Oeste,Dependente (248),Ativada,Fora da validade,,,Sim
254,Eduardo Moura,36,Oeste,Sem Contrato,Desativada,Fora da validade,2001-03-21,2002-03-21,Sim
255,Henrique Lopes,67,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-12-05,2006-12-04,Sim
256,Marcos Pereira Lopes,51,Oeste,Dependente (255),Ativada,Dentro da validade,2001-12-05,2006-12-04,Sim
257,Amanda Dias Lopes,33,Oeste,Dependente (255),Desativada,Fora da validade,,,Sim
258,José Carvalho Lopes,39,Oeste,Dependente (255),Ativada,Fora da validade,,,Sim
259,Ricardo Barbosa Lopes,28,Oeste,Dependente (255),Desativada,Dentro da validade,,,Sim
260,Diego Pinto,67,Oeste,Sem Contrato,Ativada,Dentro da validade,2001-08-14,2006-08-13,Não
261,Roberto Martins Pinto,60,Oeste,Dependente (260),Ativada,Fora da validade,2001-08-14,2006-08-13,Sim
262,Patricia Rocha,24,Norte,Sem Contrato,Ativada,Fora da validade,2001-07-10,2011-07-08,Não
263,Bruna Ribeiro Rocha,10,Norte,Dependente (262),Desativada,Dentro da validade,,,Sim
264,Thiago Monteiro Rocha,64,Norte,Dependente (262),Ativada,Dentro da validade,,,Sim
265,Amanda Dias Rocha,29,Norte,Dependente (262),Desativada,Dentro da validade,,,Sim
266,Fernando Alves Rocha,58,Norte,Dependente (262),Desativada,Dentro da validade,,,Sim
267,Rodrigo Neves,20,Oeste,Sem Contrato,Desativada,Dentro da validade,2001-03-16,2002-03-16,Sim
268,Juliana Lima Neves,6,Oeste,Dependente (267),Ativada,Fora da validade,,,Sim
